Nota,TitluReview,Nume,Data,Review
2/10,Great acting but....,rhianna_rawlins,10/20/2019,"There is a LOT of hype around this film, and a lot of people seem to think it's great, and whilst I agree Joaquin's performance is brilliant, I was bored stiff for most of this. The kind of film I'd turn off if it was on tv. I may have been harsh on the stars but I go to the cinema to be entertained and I was far from it. If I want art I'll go to a gallery."
3/10,fell asleep,imdb-62194,10/19/2019,It's just that boring. really can't understand what the hype is all about??!
2/10,lose of both time and money,wschaller2012,10/9/2019,"This was one of the worse movies I have seen. It was over acted by all actors, the story dragged on and on. I saw this movie for a bargain matinee and thought I was ripped off! The only good part was the comfy chairs and the half priced snacks!Phoenix was so over the top and not in a good way. PHOENIX STOP DANCING!!! Deniro played another version of all the parts he has played in the past few years!2 stars for the chair and 1 star for the snacks, -1 stars for wasting my day!"
10/10,Amazing!!,Batgirlw1nk,10/5/2019,"This movie is absolutely amazing!! Those giving it a bad review obviously have no clue what an origin movie is about. It is slow at first but obviously it's gotta work it's way up by telling us the story of how he became. Joaquin Phoenix doesn't disappoint in this movie, he nailed the role. I loved every bit of it."
1/10,Master joke,peeedeee-94281,10/19/2019,"That's what this movie is. Forget about all those shills with 'masterpiece' in their reviews, this movie is baaaaad. It has nothing to do with DC or the superhero/supervillain genre. A poor man's Taxi Driver in clown make-up. And 2 hours of closeups of Joaquin Phoenix's face. The joke is on the people who continue to plop down money to see this joke."
2/10,Not the Joker at all,adragon82,11/4/2019,"This movie represents everything wrong with Hollywood. Take an existing thing, make vast changes to it to the point it is no longer the thing it was, yet still call it the same thing to profit off its popularity.This story is of a loser at the end of his ropes. His life was sad, pathetic and he is powerless and thus...of course, lashes out at the world for it. This is a millennial's story. A person that blames everyone else, is a victim. There is no strength in this character. He isnt scary. He isnt a thing to be feared. This so called Joker, because he is without strength, knowledge could never be what the Joker actually is. Hard to kill, vastly intelligent and a criminal master-mind.Besides undermining every single thing that is the Joker's history, it makes a mockery of the Batman universe. This ""man"", who has no criminal history, cant fight worth a damn and is a low-IQ nit-wit, can just magically become not only Batmans greatest enemy, but can hold his own against the most powerful mob bosses and villains in the DC Universe. Why? Because he hates the world because his life sucked.Most at this point will have gone on about the deep psychological aspect of the film and claim that only a few can understand it...it is true. It is a deep psychological look at the mind of a professional victim that has failed at life and wants to burn the world because of it all while ignoring how it could never happen because a person like this could only hope to go out with a bang, literally as weak beta males can only hope to do, or ever do. It takes personal and mental strength to because a thing that gains power, keeps it, and uses it. That, makes this movie a failure on all levels other than acting. Which is supurb. Phoenix himself would make a great Joker, if he was cast to play the actual Joker.Sadly, this movie has missed the mark on coming remotely close to being like the character that is the Joker. Any incarnation of it. At least Leto was close to the New 52 Joker, enough that makes that role, more Joker than this one."
8/10,A Cynical Movie For Cynical Times,berndgeiling,10/15/2019,"Who is the crazier one?The one who is able to adapt without contradiction to the conditions of a cynical, violent and morally corrupt time, or the one reacting on those conditions with uncompromising insanity, fighting back, using his own weapons of revenge, reflecting world's madness with an insane grimace?This is the disturbing question the film poses in the figure of The Joker, equally fascinating, frightening and pitifully embodied by Phoenix, an unforgettable performance with great depth and a wide range of emotions: a Travis Bickle for the 21st century, and Robert De Niro himself paying tribute to this 43 years later after his own legendary performance in Taxi Driver."
8/10,Phoenix' chameleon charm and shades of Scorsese darken the origin story of the iconic comics villain,george.schmidt,10/5/2019,Phoenix' chameleon charm and shades of Scorsese darken the origin story of the iconic comics villain
10/10,Best movie in past couple of years,malekzadeh_kiarash,10/6/2019,"It was one of the best movies I have ever seen. The dark, tragic and well planned development of an innocent lonely man towards a brave symbol of awareness, resistance and revolution. Editing, soundtracks and direction was brilliant and breathtaking."
10/10,Phenomenal!!!!!,mjritch,9/4/2019,Phenomenal!!!!!
3/10,Awful movie,ronterry55,11/2/2019,"There is no reason for this movie to have been made. I went because of all the ecstatic reviews. Two hours of relentless blood spilling and gory murders. Giving the Joker this horrific backstory does nothing to enhance the Batman nemesis story. Joaquin Phoenix gives a silly, over-the-top performance. Robert De Nero is the only reason I gave this trash 3 stars. He enhances, but cannot save, this terrible movie."
2/10,Inhuman and terrorising,alexkatz-92989,10/10/2019,"Morally, I dislike the depiction of mental disturbances relating to violence.Filmographically, this movie tries to ""terrorise"" the spectator. Strip it from the terrorising narative and violence, the only thing left is a use of mental disturbances."
10/10,Joker Deserves Oscar... Wow,meetmustafa08,9/2/2019,I have nothing to say negative about this film. This movie shows the perfection in all aspects. leading actor done fabulous job. He will never disappoint U. Role of joker perfectly acted..
10/10,"Uncomfortable,Disturbing,Genius!",notsomighty,10/9/2019,"I haven't sat through the entire credits in stunned silence since ''let the right one in"" baring no resemblance to this movie whatsoever I was left completely speechless as to what I'd just witnessed. The term masterpiece is thrown around alot these days but Jaquin's nailed on performance of one of society's forgotton tormented souls that inevitabley arcs into the fragile but brutal criminal psychopath we know as the joker is understatedley 'perfect' to a level where the viewer is left to almost encourage Aurthur's inevitable wrong doings and sucker you into morally second guessing yourself with 'is he actually doing wrong?'I could go on but there are many other reviews for you to read that will say everything I would have said about the cinematography, music, sound,direction,set pieces, un-nerving tension, the violence, the twists and every other reason we love movies which Joker pulls off so so well.If you've not already booked to see it just drop what your doing and book.Just dont expect a superhero movie."
10/10,A Masterpiece,tushar-premal,10/4/2019,A Masterpiece
10/10,Cinematic Masterpiece,sandipbhusal-28012,9/2/2019,"Joker is one of a kind comic book movie. Packed with top notch cinematography and Phoenix's career best acting, this movie is the best to come out in years."
10/10,This is absolutely amazing,lukamiminomiminoshvili,9/1/2019,Phoenix is a best joker ever he deserved oscarThis is a best movie of this year
1/10,Disappointing as always,cellulemblock,10/14/2019,"JP has one and only acting register : the depressed looser, I don't understand the critics he is as mediocre as always. Save your money and re-watch Heath ledger's joker."
10/10,WoW!!!!,bbwilliams-16498,9/1/2019,This movie is getting a lot of praise and this film deserves IMO its better than Endgame and The Dark Knight!!!
1/10,People of big cities not mentally ill!!!!! BAD FILM,akiskard,10/29/2019,"Possibly the worst movie of the yearIf Hollywood has to give an award to Mr. Phoenix is never late to reconsider another film that made.why this film ?why this character ?Mental illness award ?at the end of the film, you don't know if all is fiction of the disrupt mind.SORRY TO PAID TO SEE THAT FILM"
10/10,Why all the concern from the professional reviewers? This movie is so good!,devolutionisreal-92464,10/18/2019,"No need for Deniro's name in ads. Phoenix IS the show. I am angry at so many negative reviews focusing on ""the violence"". Can't this just be a story? Does it have to teach some lesson? Does this have to include a discussion about mental health? Can't this just be a ""making of story"" about the most iconic villian in any comic universe? In the last 15 min when Arthur ""becomes"" , I found myself raising my arms, yes! As i walked out, I felt like i wanted to drive home at 90 mph! I loved this movie. I loved this film. I loved the director. I loved Joaquin. I didn't want to join any cause. I don't want to change my life. But days later, I am still amazed what a great movie this was!"
10/10,This is not some brain dead action movie this is a masterpiece!,zalanamd,10/7/2019,My expectations for this movie weren't very high (DC just has been lacking lately) but man this movie is a masterpiece that has to been seen by all.
8/10,"Great drama, with a stand-out performance from Joaquin Phoenix",grantss,10/4/2019,"Gotham City. Arthur Fleck works as a clown and is also an aspiring stand-up comic. He has mental health issues, part of which involves uncontrollable laughter. Times are tough and, due to his issues and occupation, Arthur has an even worse time than most. Over time these issues bear down on him, shaping his actions, making him ultimately take on the persona he is more known as...Joker.Great drama. While the movie fits into the Batman universe, and this could easily be seen as a prequel to Joker's character in The Dark Knight (where Joker was played superbly by Heath Ledger), this is not a comic-book movie. If it was a comic-book movie, it would have ended up another one in a long, seemingly endless line of them, one hardly discernible from the next.No, this is a human/psychological drama, and a very good one. Writer-director Todd Phillips creates a dark, depressing world with Arthur Fleck one of its primary casualties. The slow, inevitable progress of Arthur Fleck from innocent man to master-criminal is an interesting journey as Phillips rachets up the tension.What was then required was a performance that captured that darkness, helplessness and gradual disintegration and Joaquin Phoenix gives that, perfectly and spectacularly. Spot-on casting and delivery.Not quite the perfect movie though. Pacing was a bit off: some scenes seem dragged out too long. I know Phillips was drawing it out to create tension and atmosphere, but on a few occasions it feels like he overdoes it.It is also difficult, from a point, to be sympathetic towards Arthur Fleck. You start out supporting him, feeling that he is a victim rather than a villain, but, as his actions become more extreme, that engagement wanes.The story also feels like it is missing something to make it 100% complete. No, I'm not expecting this to link in with The Dark Knight. In fact, many of the Batman references actually seemed unnecessary, more there for audiences to gasp and say ""Oh, so that's how Joker fits in with Batman"", rather than adding anything to this story. A few scenes beyond the final scene might have been in order, to see more of Joker's history.Overall, still a great movie though."
1/10,Badly overhyped and poorly executed by all,gabriels-45483,10/15/2019,This was badly overhyped on all levels. Joaquin Phoenix whom I usually enjoy did not portray the man who became the Joker very well. Robert De Niro whom I normally love as well was just a twisted version of the late Johnny Carson. Worst of all was the directing job of Todd Phillips. He should not have taken on this movie. DO NOT WASTE YOUR TIME
1/10,Waste of money and time,alhaddadein_salah,10/13/2019,This movie won't be felt only by those who suffer and feel such feelings as the character does...It need some ill people mentally or physically who suffered during there life time to appreciate it.And from the rating I believe that a lot of ppl have experienced such circumstances hence the sympathy towards it.
10/10,Definitely an Oscar winning actor,loayoliva-73794,10/9/2019,"Wow ...what a movie and what an actor ,Go ahead and watch it, it really worth it,I've already seen it twice in three days."
2/10,A 'Triumph of the Will' for Nihilists,mjjusa-1,10/9/2019,"'Joker' is a sick, disgusting, dark, evil, violent, total piece of scheisse. It will seriously affect emotionally troubled young people already pulled at by suicide, addictive behaviors, and hopelessness. It's like a 'Triumph of the Will' for nihilists. I would defer from voting for Joaquin Phoenix for best actor until i see video of his normal non-acting self...it may be he wasn't acting in 'Joker' at all and is one majorly screwed up dude. And, what a weird alien body. He's naked from the waist up a lot in 'Joker' and, from the waist up, is, let's say, disquieting. All taut skin stretched tightly over an alien bone structure. The bones stick up and out at odd angles, in odd places, like the exoskeleton of a medical experiment gone wrong. Not a single pleasant moment in the movie. Not a moment of joy, nor beauty, nor happiness. No catharsis from all the misery and violence, just a stomach churning emptiness at the thought that the last fifty years have come down to this, and this is a circle of despair. A movie without hope, without humanity, showing a world that no sane person would live in."
10/10,Exceeded expectation by FAR,sunbuffett,10/4/2019,"Going into the theater I already had a very high expectation, but it was no where close to how good this movie and the acting actually is.... This movie is an art piece."
10/10,Flawless Storytelling,sopenco,10/4/2019,"Casting was really good. No crazy surprise breakaway performances - everybody fit their parts and held their own (which is hard in the face of Phoenix and DeNiro).But the way the story unfolds, the foreshadowing, the grand revelations - absolutely masterful! Nobody would ever expect such good writing to be invested in a comic book villain origin story, but alas..."
10/10,A comic film so real it feels imaginary,debashis-chin,10/4/2019,"As heath ledger's joker said ""madness is like gravity all you need is a push"" Joaquin through his performance has proved it. Through the movie one will witness the fall of a man and the rise of the Joker. Brilliant performance by Joaquin."
10/10,Salute to Joachim Phoenix,radanyal,10/9/2019,Joachim Phoenix is the best. how can someone act so good. just speechless.
9/10,Beautiful. Haunting. Hard-hitting.,anvesh-mallick25,10/4/2019,JOKER review:A brilliant movie. Outstanding Phoenix. Genius Todd Phillips. BEAUTIFULLY HAUNTING.
1/10,Only echoes of the universe,blake_hampson,10/19/2019,"If you go to see this movie expecting the villain from the Batman universe, you won't find it. It is however a great movie about mental illness. Phoenix obviously studied the character quirks of people with schizophrenia. But the Joker should scare you, this guy just makes you uncomfortable. It doesn't AT ALL explain how an awkward loner turns into a charismatic criminal mastermind."
10/10,Just Fxxxing WOW,nnzar-60279,12/8/2019,Wow wow wow Joaquin Phoenix is just mesmerizingIt is been a while since Hollywood came up with such an incredible movieKudos to everyone on this movieLove it
10/10,Excellent,hamanu-21230,11/20/2019,Amazing film and acting was superb. Could not have been better.
10/10,Incredible movie!,SeliusBlack,11/20/2019,"Hello,Firstly, I would like to say I create for the very first time an account here. And this is my first review after watching the movie. Sincerely, this is the best best movie of the year, and may be of the century.Some time ago, when the movie about Queen came out, my opinion was the same, and not long after, the film won almost all the Oscars.Best,"
10/10,A film to remember,haneenimadaim,11/20/2019,"I can't tell how I felt with every sense I watched,it was like take green cart to get in our deep side, and show us what is there! Jouqen is the most actor did his role in perfect way all the time. I watched movie twice before, and I'm waiting to watch it again"
10/10,A raw and unflinching movie about severe mental illness - with not a caped crusader in sight...,craigaconnelly1,11/20/2019,"Well, this movie completely blew me away. I suppose it will remain polarising to audiences due to the subject material, and the way it is presented. But don't be fooled into thinking that this is merely a superhero romp, or some similar variation. The core of this movie is an examination of severe mental illness, depicting a horrifying condition largely from the perspective of the sufferer. You are also given a birds-eye view of the world that surrounds such an illness. The consequences to other individuals and the wider community are portrayed with frightening accuracy and honesty. An understated and carefully crafted subplot, serves as an origin story to the supervillain... Stylistically, the movie is homage to Martin Scorsese, and you can't miss the nods to several of his gritty pieces. As well, I'm sure I felt the influence of other films too, such as 'One Flew Over the Cuckoo's Nest' and 'Network'... Regarding Joaquin Phoenix's performance, I can't recall a more raw and gripping character portrayal. I reckon that this will come to be regarded as the definitive portrayal of severe mental illness by an actor on the silver screen. Phoenix has to be hands-down favourite for every upcoming major acting gong, and this is the best movie I've seen in a long time."
10/10,Favorite Movie of 2019,owllington,11/19/2019,"This movie was outstanding. Don't trust the critics, this movie is a masterpiece. I expected it to be good, but it far passed my expectations, and in my personal opinion I believe he's better than Heath Ledger."
8/10,Confused critics = good sign,domdalmasso,11/17/2019,"Tragedy either brakes a man or makes a man. But the Joker's Breakdown is more than mere tragedy. At a specific point in the story, it's a conscience choice. It's when he makes that free choice that the viewer no longer feels bad for him. When you change your philosophy to match how you feel (in the case of the Joker, to make morality subjective) you attack what makes human dignity objectively good. An opponent to human dignity is not subject to sympathy. The Joker is evil.This is a commentary on the ""victim mindset"" that we see in today's political-correctness. Batman is the contrast. His hardships make him want to spread justice. The joker's hardships make him want to spread more hardships."
9/10,Cinema_beast review,kotsiosg-65958,11/17/2019,"As one falls, another rises. The more I think about the movie, the less I have to say. This review was very difficult to write since I'd constantly get overwhelmed and lost in my thoughts. This film makes you think. A lot. It's the only thing I can think about and I can confidently say; it has 'scarred me'. The message it tells is relevant and very important since it's a realistic interpretation of where our society could end up. It's a warning which needs to be heard. Phillips makes an Oscar worthy, unique film. A film usually has high and low points which it fluctuates about. However, this film is steadily in the middle, creating tension throughout. Phillips makes the film fascinating and intriguing even though it's slow. The arc of Arthur is also organic and very well written since by the end you feel as if it was bound to happen. Phoenix's performance is also Oscar worthy since he is able to make us pity but fear him. Basically he's amazing. I'm still overwhelmed and trying to piece things together so that's all I have to say. In conclusion, it wouldn't be a surprise if it got a best picture and actor nomination. It's amazing and definitely one of my favorite films of all time."
10/10,A goddamn masterpiece,hanna-94032,11/10/2019,"If you're here for a joker story this is not for you. It's a character development movie. The trailer tells you exactly what the movie is about. It's a bout Arthur Fleck becoming the joker. But that's not why it's great. It's great because Hawken Phoenix shows you how a person changes. Everything is rooted in reality and everything that happens is very beliveable not because what is actually happening is believeable but because Arthur believes it to be. This is a great movie that can be interperated to eternity. Director Todd Phillips really went for gold here. He created an amazing universe which this movie can exist in. You don't know if any of the things that happens really happened or if it's just in Arthur's head. Damn everyone should se this movie. I've seen it 3 times in cinema, but I want to see it again. It's just that good. It's art in its truest form."
10/10,WOW,kjverlind,11/10/2019,"Wow, just WOW!Mindblowing performance by Joaquin Phoenix! Mindblowing movie!Nothing more to add."
10/10,Powerful and very emotive.,dv_h,11/9/2019,"Probably the most intense film I've watched but maybe for personal reasons.This film goes deep and can be quite uncomfortable.The acting is sublime and the cinematography is beautiful but basic.This film has left an everlasting mark on me, more than any film I've watched before, in good and bad ways.It'll be a while before I feel comfortable to watch it again (but I will)Some of the low scoring reviews on here are hilarious and look like they're written by 5 year old who'd expected to an Avengers movie.This film is massively thought provoking and is an absolute must for fans of cinema.Outstandingly edgy without being pretentious."
10/10,One Word Describes this film... Masterpiece,lilbuch22,11/9/2019,"As a kid growing up Joker was my favorite superhero villain and I always enjoyed seeing the different ways he was portrayed as. That being said, nothing tops this film. Phoenix gives one of the best performances of any film I have ever seen in my life. The writing is absolutely enchanting, dark, tight and extremely engaging. This movie blends psychological thriller, with crime mystery, and overall dark drama. The original score is about as perfectly made for a film as it can possibly get. Whenever it came on I notice the effect of the slow burn increasing suspense my heart rate would increase. The pacing in this movie is just fantastic, it flys by so quickly. I am still taking everything in, the symbolic elements, the meaning of it all and the ending especially the ending which is worth the price of admission. Joker is an extremely dark, and emotionally intense film that really is a lot to take in but it is so well done. Masterpiece!!!! Oscars make sure you watch this film and give it the awards it deserves!!!"
10/10,This movie is hauntingly beautiful.,zamanismam,11/8/2019,"When I went to the theatre to see this movie, I was expecting an ordinary movie about a DC villian. But what I saw was way, way more than that. Not only does it show Joker's origin but also shows how society treats people who are a bit different from them. Todd Phillips did an amazing job presenting the little details that show Aurther Fleck's degrading mentality. And the way the music and camera shots emphasises that idea is nothing short of remarkable. Joaquin Phoenix delivered an oscar-winning performance, which made the movie something I will remember for the rest of my life."
10/10,It is scary to cheer for the twisted ones,evenamit,10/31/2019,"Let's ignore the phenomenal acting, directing, script, filmography, special effects etc.. You could read about those elements anywhere else.People hate or worship the Joker movie for the same reason, on its superficial level, it glorifies the madmen, the lost, the pillars of capitalism that went astray and as a viewer you might do the same, asking yourself, should I hate the Batman now? No, you are not crazy.It seems that due to non-biological, cultural-related life circumstances, the only way that Arthur Fleck could fulfill himself is to become the Joker, a title that is a part of the movie's strongest underlying, Arthur didn't choose his destiny or his new name and identity, society's strongest did and it seems like there are many people like him or at least people that identify with him as seen in the street of Gotham in the last hour of the movie.I will watch this movie as many times as I watched Pulp Fiction, maybe more, and to think that there is only one significant character in it ( OK maybe De Niro's character is important, but they are all important)"
10/10,PHENOMENAL,ramtrishan,10/24/2019,"The performance of joaquin phoenix is a masterpiece. If he doesn't get an oscar for this than I don't know wat is oscar worthy. You would't expect this from Todd Phillips, but he made a masterpiece."
10/10,Madness of cinematic,ahmdmadridista,10/24/2019,Unbelievable how come we love the bad guy after living their own life
10/10,Darker Than Dark!,thekissinggirls,10/24/2019,I actually really didn't want to like this film and thought I was going to find it awful to watch. Instead I found it to be brilliant. So deeply disturbing and had me on totally gripped throughout. Amazing film and so well done. I usually don't like Phoenix but he is so good in this and really gets it bang on. Thanks for making this film!
10/10,What a movie...,goudelock,10/24/2019,"Joker actually is a mix of different genres and elements who create something unique.You can see the Taxi Driver or King of Comedy influences but Todd Phillips Movie has more things to say ... and Joaquin's Phoenix performance helps him to do that 100 %.I think it's the best character development I've see in a movie and the screenplay it's artistic written. Even if doesn't follow the comic mythology at all and it's very realistic and less comic book movie, Joker has a lot of elements of Batman Mythology and gives some hint to DC fans. Dark, brutal, funny and sad at the same time ... Joker is one of the best movies of the recent years."
10/10,Incredible film,lhorgan-26405,10/24/2019,"I havent been this satisfied by a movie in a long time. There was so much depth and relatability. Joaquin did a fantastic job portraying such a real, broken character"
10/10,It was great!,Adam_Isaksson,10/23/2019,Saw it on opening day in Sweden and loved all of it.
10/10,Comic book story telling for adults and intellectuals,mrlowestudios,10/23/2019,"Great performances from all involved. Phillips is awesome with telling the story he wanted and leaving room for interpretation. Expressing his own feelings of society. Conveying it through the tragic story of a person having been beaten by society, now choosing the wrong path. Letting go and giving into his own sick and twisted perspective of the world that treated him so brutally. Returning the hate and anger bestowed upon him. It's sad and wonderful, mischievous and marvelous all at the same time. As an avid comic book, movie , joker, nerd. I felt Joaquin captured his darkness that grew from innocence to violence. His quirks and ticks are exactly what I imagined a live Joker to be, without being cheesy. you see him immerse himself into the madness that lives with the Joker and becomes apart of you as you follow the rabbit hole of the joker. Great stuff, fascinating approach."
10/10,Don't see it as a DC film.,jamesalde-04007,10/22/2019,"Focus on Arthur. This film is on point with what they want told. I've seen movies that deals with the same idea, but this is just a lecture.A very human society revolves around Arthur and sends him down a path full of conflicts and challenges. To understand why this representation of society can be considered normal, you have to see that this is what our contemporary generation has led to. Everything in this film is normal, normal because it happens and happened. We try to prevent it but its so normalized that it still happens. The problem isn't because of having either mental issues or normal issues, its the fact that we consider them two different things, and forget that the simple concept was to comfort the ones who are going through tough times, and just be there for them.We have opened a network of wrongs and it will keep on breeding more wrongs, until we choose to stop and do something about it."
10/10,Joker Gets In Your Head & Never Leaves,xclbr,10/21/2019,"Joker's like getting in a time machine and going back to 1983 and watching a movie that was made without modern restraints to be thought provoking & entertaining, definitely NOT made to be PC, LGBT or appeal specifically to the Chinese or any minority. Joker was made for all mankind. The bought and paid for mainstream media critics will hate Joker, but true film fans will leave having seen something unapologetically original and unimaginably enjoyable. Joker resembles Taxi Driver or Platoon for getting in your head with brutal honesty and never leaving."
10/10,"On So Many Levels, In So Many Ways JOKER Is Cinema PERFECTION!",missreneb,10/21/2019,"I have to fan geek out on this FILM! It is simply one of the most perfect efforts in cinema ever. If JOKER does not rake in awards or more specifically multiple Oscars I will be befuddled! Joaquin Phoenix always delivers a masterful performance in all of his movies however this performance is truly magnificent. I was spellbound by him and by so much more. This music is phenomenal and high praises to Hildur Guðnadóttir!!!!! I will be seeking this brilliant composer to listen more of. Lawrence Shers' cinematography was beautiful and the film color/saturation was so spot on!!! KUDOS! Editing? Beautifully done!!!! Thanks to Jeff Groth and his team if he has one! I could keep singing about this movie but I will spare everyone....but damn, the man who brought it all together, director Todd Phillips. Masterful job!!!!! I wanted to stand up and cheer during the credits.... :) LOVED IT!"
10/10,Unbelievable!,DingoDiablo,10/21/2019,"So I made an account and I am about to give my first ever movie review because of this film.I'm not a critic and Don't know much about the intricacies of cinema but what I can say is this is a damn good movie, I've never watched a movie so perfect before in my life. Honestly I thought this movie was gonna be a flop but I've never been so glad to be wrong.First off this is a terrifyingly real depiction of mental health, I have depression and was nearly in tears multiple times through this movie because I could feel everything that brought the character Arthur down. My favourite thing about this movie is the music, it's a truly scary score that blends well with the overall tone of the movie, every time you hear the music play you get an overpowering sense of dread and fear of what's about to happen. The violence hits hard but isn't over the top and makes you wonder what more this character is capable of. Never before have I seen pacing so perfect in film, it goes from 0 to 100 so slowly yet so quickly making you realise just how serious Arthur's mental state really is. The only thing wrong with this movie is the feeling of needing more!In the end Joker is the best film I have ever seen, it hits hard and leaves you wanting more from Joaquin Phoenix's exceptional performance that haunted my thoughts for days, I've been to see it 3 times now and my thoughts haven't changed. I truly hope to see this iteration of the Joker again in a sequel or even a cameo for any future projects. Hats off to the director and every person involved in this film, it was beyond perfect!"
10/10,Holy Cesar Romero's Moustache...!,TwittingOnTrender,10/21/2019,"I always go to the one-star reviews first, as the ten star reviews of movies I like will just echo what I think. I like to see what someone who DIDN'T like the movie has to say - ""OK, convince me"".The one-star reviews are hilarious - they range from the ""I'm different to everyone else!"" cries for attention to the jealous, possessive moans of those people who think that THEIR character or story has been taken from them and turned into something they don't like. Basically no-one convinced me - I didn't read a single thing that maybe think ""Hmm, maybe they have a point. I hadn't noticed that"".For this is a perfect movie. Even to a superhero agnostic like me. The performance of Joaquin Phoenix beggars belief - from his physical transformation to the acting turn he puts in. I can't imagine anyone in the history of acting portraying this character to such devastating effect. I won't go on, because, as I said, it has all been said in other reviews - suffice to say that I'll be amazed if another movie tops this in my view in 2019. Once Upon a Time in Hollywood might have run it close with 20 minutes shaved off but as it stands, Joker reigns supreme, awards season notwithstanding.I wondered why the left had took agin this movie, which is no more or less violent than many movies, superhero or no. (And speaking of Once Upon a Time in Hollywood, I heard someone on a podcast say they walked out when someone started inflicting violence on a woman. (This was a woman intent on slaughtering people, including an unborn child) So you waited till ten minutes from the end to stage your big protest!?) Then I found out. Apparently Todd Phillips said ""Woke culture has killed comedy"". Big mistake! The memo went out. The Hive Mind was apprised. Nothing he did was ever to be favourably reviewed again. Good. More room in the cinema for me."
10/10,This movie is truly a masterpiece.,elmahk,10/18/2019,"I have never in my life felt a movie like I did the joker. This movie is truly a masterpiece and it made me feel something I have never felt before. I cant stop thinking about the movie after I watched it yesterday I am just completely blown away. The music, the actor, the story.. Truly something else. My expectations were so high for this movie and the movie was far better then I ever imagined. Jesus Christ if you haven't seen this movie you are in for a treat. Im gonna go watch it again bye."
10/10,Amazing,sm_adnan2002,10/13/2019,A Masterpiece thanks to Phoenix. I don't know whether they should make a sequel or not but this one is must to watch
10/10,Masterpiece,lulojem,10/13/2019,"A genuine interpretation from Joaquin take us to feel the empathy and the deep pain he goes into.... amazing actor who transmit very well every emotion and stage he goes thru. Some people claiming the movie was odd, too dark and pacing but, in my opinion The odd and pacing on this movie was necessary for the public to understand what is mental illness. Photography, sound track and direction is delightful. Definily a must own movie, watched for second time already and I will many more. Bravo 👏🏻 and grateful for this movie, I do celebrate the success of this amazing film. Well deserved."
10/10,"Mind blowing, fantastic",thesaini,10/13/2019,I was enough sure that this will give me some unforgettable moments but things get really amazing when i finally saw it and I was like i need 1 or 2 minutes to think about what was just happened in the scene. I mean how can a person go deep into these scene for some fraction of second and suddenly newer trench waiting for you. So unbelievable. Iam happy and thanks god to keep me alive so that i am able to see this cinema
10/10,Amazing,bjonesdk,10/13/2019,"Incredible performanceCan strongly recommend the movie, even if you disliked the precious films."
10/10,don't miss it,bader-a,10/13/2019,One of the best film I have ever seen in my life 🔥🔥🔥
10/10,a work of art that meets your expectations and left me impacted from beginning to end,patitapatas,10/13/2019,"I am not a fan of the dd batman universe, I am never interested, but they recommended the movie and I do not regret those 122 minutes I spent watching this magnificent piece of art. The direction, photography and lighting is brutal and accompanies the progress and development of the plot and the character. Phoenix played the joker spectacularly and magnificently, I loved his performance and I found the best selection. The development of the joker and his thankfulness is incredible, his important moments were well managed and he loved everything about him. Frances conroy great as always. If you did not see it, watch it, even if you are not a fan or have not seen other movies, just watch it, because it is not essential. One of the best movies of the year"
10/10,A movie so unlike the movies of today. Truly a Masterpiece.,alexhogendorp,10/13/2019,"This ain't no ordinary superhero movie. Never have I expected to tear up watching a movie especially in this day and age. The writing and character development is done extremely well, have I ever feel the pain The Joker goes through in this life. How his relation of his surroundings I compare to my relations with leftists elites like Silicon Valley and corrupt governments of western Europe to nihilists who infest the western world. That feel of wanting to change absolutely everything and how satisfying it would feel if you've actually achieve this stance of changing the landscape around you. Albeit my goals are a permanent renaissance, A permanent nirvana for the shreds of sanity of humanity, being the innocent ones, the ones unlike the ignorant normies and the scummy elitists who tear the world apart. Never have I expected a movie made in recent times have I ever felt shocked or uncomfortable in a good way. A movie to really inspire me especially at this magnitude is extremely hard to come across. Like The Matrix, it should really get you to grasp on an extremely interesting perspective of the world. A movie to really challenge you on what you perceive in life. This is one epic masterpiece if I've ever seen one."
10/10,Deeply disturbing and brutal,djohnson-52,10/12/2019,"This film is far removed from the comic book capers one would initially expect. There is no superhero action sequences here. This is a psychologically thrilling yet disturbingly shocking version of The Joker, maybe a character study if you will.There is no falling into chemical waste in this movie; what you get here isn't a physical destruction of the character but a mental one. This could be a film of The Joker's psyche rather than his story.Phoenix's portrayal is nothing short of amazing. At times I felt like he may have tried too hard, but regardless this is an award winning performance and it's clear that he has thrown everything into this character both mentally and physically.Coupled with a beautiful soundtrack and amazing photography and direction this is a true masterpiece.Personally I'd rate this as the best entrant into the Gotham City universe so far. To follow this going to be insanely difficult.A movie that is, at times, cringeworthy yet still keeps you mesmerised. This is a sickly sweet, brutal and deeply dark and disturbing film. There is no good versus evil here; there is only pure evil. This franchise has finally come of age."
